门派      等级      价格      装评      炼护      加护      大法      小法      大物      小物      疾语      追电      防御      回避      物防      命中      会心      万钧      御心      诛心      名称
弈剑      80        3500      83128     150       236       1154      422       2501      1354      0         470       3257      2089      2447      1728      1922      0         0         14        十一乄
太虚      80        6800      93121     195       234       3746      1739      816       451       34        330       1986      1893      3821      1805      2364      0         0         408       丷赤月宁初丶
弈剑      80        7055      97468     195       234       1185      475       2443      1008      0         482       3432      2881      3266      2300      2494      0         0         177       富江丷
龙巫      80        3700      84466     195       234       2827      1327      769       478       26        345       3677      597       2136      1160      2006      0         83        67        我真会上毒乀
天机      80        6300      93254     166       247       745       502       2897      1620      0         456       6099      901       2008      1824      555       0         142       0         霸天灬戦
龙巫      80        8100      90122     120       238       739       570       2026      923       0         413       5628      1536      3840      1127      2125      0         46        49        风波恶丶
天机      80        8950      92928     195       238       769       485       2727      1813      0         502       6274      879       2468      1967      937       36        252       10        琴婉妍
天机      80        9000      95674     195       235       799       509       2912      1535      0         447       7010      454       1639      1901      420       104       189       29        如穷追一个梦丶
弈剑      80        5400      88375     151       235       1160      430       2758      1109      0         465       3326      2446      2883      2081      2234      27        7         122       水瓶瓶丶
魍魉      80        9900      81442     165       247       1074      821       877       484       68        342       4775      1742      2856      824       670       0         33        128       灬危险人物丶
弈剑      80        5900      97292     195       235       1178      431       2788      1231      2         484       3438      2408      3142      2124      2434      8         0         77        温暖如昔丶
冰心      80        5300      90365     195       236       1146      798       528       418       52        334       3798      3557      6081      701       583       0         43        41        乀道仙
云麓      80        3500      82126     150       234       3609      1640      899       553       44        355       1736      1170      3728      1678      288       0         0         0         一笑抵千言
弈剑      80        2700      77459     110       234       1043      399       1839      832       0         392       2881      1788      2430      1823      1752      0         0         0         乄嫣然醉晴雪灬
荒火      80        7200      92762     134       238       715       404       2851      1039      0         428       5406      614       1452      2257      579       101       7         0         氵芳心纵火犯
门派      等级      价格      装评      炼护      加护      大法      小法      大物      小物      疾语      追电      防御      回避      物防      命中      会心      万钧      御心      诛心      名称
天机      80        9300      102689    201       242       852       533       2949      1515      0         465       6907      1080      2208      2060      2237      0         206       304       钱贝贝乀
冰心      80        9200      92474     156       239       1051      769       517       422       50        330       4119      3691      6375      801       505       0         63        0         乄路遥丶
冰心      80        4999      85998     150       234       1059      747       525       389       50        330       3707      3793      6131      721       476       0         48        0         乄雨落云兮乀
冰心      80        4489      85274     136       235       986       739       504       442       43        330       3708      3632      5673      648       604       0         28        0         乄若兮灬
冰心      80        3500      85403     150       236       1191      721       487       479       36        330       3330      3403      5194      646       378       0         114       0         聆窗有雨
弈剑      80        8500      96813     210       238       4334      1733      815       530       33        371       2486      1857      3686      1752      2385      0         7         254       乀顾北寒灬
太虚      80        3600      81482     137       236       2800      1509      722       395       41        368       2166      1658      3616      1548      1994      0         0         41        云洛洛
荒火      80        8500      99206     207       235       770       399       3319      1224      0         437       5848      721       1745      1993      579       65        40        0         灬乄无念丶
天机      80        6300      90092     195       239       934       536       3133      1898      0         401       5071      668       1995      1714      552       49        0         0         無詺丶
弈剑      80        8000      104464    195       252       3824      1599      878       582       43        358       2792      1662      3478      2107      2892      20        56        237       清茶半盏丶
冰心      80        6400      92436     150       235       1146      779       577       443       50        332       4068      3647      6508      758       581       0         19        11        丷沐然然
弈剑      80        5800      93181     150       243       3706      1590      777       533       30        346       2607      1604      3512      1196      2575      0         10        129       叶乄云杉
冰心      80        4500      88344     183       238       1337      913       629       472       47        336       4150      3713      5368      753       188       0         39        0         丷小长歌
幽篁      80        7525      100836    196       253       4364      1880      811       412       32        373       2160      1817      3750      1724      2074      0         0         299       九天丶
冰心      80        2250      75553     113       237       877       688       430       413       33        337       3062      3059      4664      769       528       0         66        0         水自流丶乱
门派      等级      价格      装评      炼护      加护      大法      小法      大物      小物      疾语      追电      防御      回避      物防      命中      会心      万钧      御心      诛心      名称
翎羽      80        4060      87827     164       237       664       406       2980      1605      0         449       3597      1227      1710      1856      411       8         0         21        细听灬烟雨
太虚      80        2500      76057     112       234       2619      1288      476       300       37        332       2190      2117      3430      1179      1663      0         0         0         天萌丶宠児
太虚      80        9000      103206    182       234       1819      868       845       417       46        336       3872      4285      6642      1085      183       0         74        18        往事如风丶丶
魍魉      80        8888      100058    195       257       683       316       2770      805       0         420       4314      1601      2268      2250      2876      0         0         198       墨染卿衣尽妖娆
翎羽      80        6300      96433     195       239       633       424       3436      1962      0         476       4218      1079      1851      1569      328       0         0         48        这天气有点凉快
天机      80        9300      98785     195       243       875       510       3081      1791      0         446       6371      536       1634      2117      457       58        76        0         千叶影儿丶
荒火      80        8000      95189     195       258       821       441       3821      1539      0         434       4721      673       1551      1620      2259      0         0         444       丶玖簘
魍魉      80        2500      75479     112       235       388       233       1687      352       0         420       4032      1917      1776      1929      1992      0         0         0         人面兽訫
冰心      80        9000      102688    203       260       1104      879       542       542       54        330       4030      3292      5906      773       642       0         171       0         乄溯
幽篁      80        9501      98110     195       239       4050      1649      828       411       14        417       3904      1182      2527      1130      2208      0         229       181       跨越西崖
